노선ID,노선번호,정류소순번,정류소명,노드ID
5200051000,51,58,경성대학교,180750301
5200083000,83,11,경성대학교,180750301
5200083100,83-1,19,경성대학교,180750301
5200108000,108,12,경성대학교,180750301
5201001000,1001,25,경성대학교,180750301
5201003000,1003,37,경성대학교,180750301
5201003F00,1003-F,44,경성대학교,180750301
5200022000,22,16,대연역,180750302
5200024000,24,19,대연역,180750302
5200027000,27,19,대연역,180750302
5200040000,40,47,대연역,180750302
5200041000,41,20,대연역,180750302
5200042000,42,41,대연역,180750302
5200051000,51,59,대연역,180750302
5200083000,83,12,대연역,180750302
5200083100,83-1,20,대연역,180750302
5200108000,108,13,대연역,180750302
5201003F00,1003-F,45,대연역,180750302
5290701000,남구1,33,경성대학교,180750303
5290702000,남구2,29,경성대학교,180750303
5291506000,사상구6,73,경성대학교,180750303
5290701000,남구1,34,대연동제일은행,180750304
5290702000,남구2,30,대연동제일은행,180750304
5291506000,사상구6,74,대연동제일은행,180750304
5200038000,38,116,낙농마을,180790101
5200583000,583,46,낙농마을,180790101
5290701000,남구1,32,경성대.부경대역,180790201
5290701000,남구1,30,경성대학교후문,180790202
5290701000,남구1,31,대연롯데캐슬,180790203
5290701000,남구1,29,대연삼정그린코아더베스트,180790204
5290701000,남구1,20,대남초등학교,180790401
5200020000,20,5,용호사거리,180800101
5200024000,24,11,용호사거리,180800101
5200039000,39,74,용호사거리,180800101
5200131000,131,84,용호사거리,180800101
5200020000,20,6,이기대입구,180800102
5200022000,22,9,이기대입구,180800102
5200024000,24,12,이기대입구,180800102
5200027000,27,12,이기대입구,180800102
5200039000,39,75,이기대입구,180800102
5200131000,131,85,이기대입구,180800102
5290702000,남구2,15,용호3동행정복지센터,180800103
5290702000,남구2,16,이기대입구.용호복지회관,180800104
5290709000,남구9,54,용주탕,180800201
5290709000,남구9,55,용호중학교,180800202
5200020000,20,68,용호시장.용호골목시장,180800301
5200022000,22,94,용호시장.용호골목시장,180800301
5200024000,24,53,용호시장.용호골목시장,180800301
5200027000,27,71,용호시장.용호골목시장,180800301
5200039000,39,61,용호시장.용호골목시장,180800301
5200131000,131,72,용호시장.용호골목시장,180800301
5200020000,20,67,용호사거리,180800302
5200022000,22,93,용호사거리,180800302
5200024000,24,52,용호사거리,180800302
5200027000,27,70,용호사거리,180800302
5200039000,39,60,용호사거리,180800302
5200131000,131,71,용호사거리,180800302
5200020000,20,69,부산성모병원,180800303
5200022000,22,95,부산성모병원,180800303
5200024000,24,54,부산성모병원,180800303
5200027000,27,72,부산성모병원,180800303
5200039000,39,62,부산성모병원,180800303
5200131000,131,73,부산성모병원,180800303
5290702000,남구2,63,용호사거리,180800304
5290702000,남구2,64,용호동우체국,180800305
5290708000,남구8,45,용호동우체국,180800305
5290702000,남구2,65,용호골목시장,180800306
5290708000,남구8,46,용호골목시장,180800306
5290702000,남구2,66,용호시장,180800307
5290708000,남구8,47,용호시장,180800307
5290702000,남구2,67,부산성모병원,180800308
5290708000,남구8,48,부산성모병원,180800308
5290708000,남구8,8,솔밭공원,180800401
5290709000,남구9,5,솔밭공원,180800401
5290709000,남구9,4,용호사거리,180800402
5200038000,38,45,남부경찰서,180810301
5200038000,38,109,남부경찰서,180810301
5200583000,583,16,남부경찰서,180810301
5200583000,583,39,남부경찰서,180810301
5200038000,38,46,청구아파트,180810302
5200038000,38,110,청구아파트,180810302
5200583000,583,17,청구아파트,180810302
5200583000,583,40,청구아파트,180810302
5290701000,남구1,22,남부경찰서,180810303
